magyarization;Magyarization;x;
tax_repayment;Tax repayment;x;
harsher_taxes;Harsher taxes;x;
scottish_language;Scottish language;x;
irish_language;Irish language;x;
celtic_language;Celtic language;x;
famine;Famine;x;
lesser_famine;Lesser famine;x;
constantinople_country;City of the World's Desire;x;
constantinople_province;The Eternal City;x;
national_confusion;National Confusion;x;
mp_infamy_buff;Multiplayer Infamy Buff;x;
post_militia_clash;Post Militia Clash;x;
post_militia_clash_desc;Our country is still recovering after the most recent clash between the religious militias;x;
von_grolman_pm;Prime Minister: Werner von Grolman;x;
von_grolman_pm_desc;The Prime Minister, being of Rhenish origin, is focused mainly on strengthening our industrial capacity and the economy. Due to his status being tied to the rise of the middle class he is a supporter of increasing their influence over national politics.;x;
de_chalon_pm;Prime Minister: Jean de Chalon;x;
de_chalon_pm_desc;The Prime Minister, being of French origin, is focused mainly on culture and expanding our school system. Due to his status as an Aristocrat he is supportive of their dominant status quo.;x;
van_brederode_pm;Prime Minister: Willem van Brederode;x;
van_brederode_pm_desc;The Prime Minister, being of Burgundian origin, is focused on centralizing the state and expanding our nation. Due to his military background and support for a centralized state he is not very popular with the commoners and nationalists.;x;
van_wassenaer_pm;Prime Minister: Jan van Wassenaer;x;
van_wassenaer_pm_desc;The Prime Minister, being of Dutch origin, is focused on keeping the country together and making sure everyone is content with the status quo. He is a master of diplomacy and placating people, thus he is uniquely popular choice among both Protestant and Catholics.;x;
pm_switch;Recent Prime Minister Switch;x;
pm_switch_desc;We have recently changed Prime Minister and must wait awhile before we can do so again.;x;
economic_boom;Economic Boom;x;
economic_boom_desc;Our economy is booming!;x;
economic_crisis;Economic Crisis;x;
economic_crisis_desc;We are currently undergoing a severe economic downturn;x;
merchant_marine_funded;Merchant Marine Supported;x;
free_market_embraced;Free Market Embraced;x;
merchant_marine_demands_submitted;Submitted to Merchant Marine Demands;x;
merchant_marine_discontent;Merchant Marine Discontent;x;
merchant_marine_dismantled;Merchant Marine Dismantled;x;
merchant_marine_funded_desc;The Merchant Marine has been given special priviledges to strengthen our countries economy and naval prowess;x;
free_market_embraced_desc;Long live the invisible hand of the free Market!;x;
merchant_marine_demands_submitted_desc;We have submitted to the demands of the merchant marine for a more liberal government.;x;
merchant_marine_discontent_desc;We have upset our merchant marine;x;
merchant_marine_dismantled_desc;We have abandoned our support for the merchant marine;x;
